Cosmetic_ID,Brand,Name,Type
518,Make,Up,For
519,Make,Up,For
520,Make,Up,For
521,Make,Up,For
522,Make,Up,For
523,Make,Up,For
524,Make,Up,For
525,Make,Up,For
526,Make,Up,For
527,Make,Up,For
528,Make,Up,For
529,Make,Up,For
530,bareMinerals,Eyecolor,"
Loose
"
531,bareMinerals,Round,the
532,bareMinerals,100%,Natural
533,bareMinerals,All-Over,Face
534,bareMinerals,Pretty,Amazing
535,bareMinerals,100%,Natural
536,bareMinerals,Loud,&
537,bareMinerals,Blush,"
Loose
"
538,bareMinerals,Flawless,Definition
539,bareMinerals,Liner,Shadow
540,bareMinerals,Brow,Color
542,bareMinerals,Flawless,Definition
543,bareMinerals,Flawless,Definition
544,bareMinerals,Flawless,Defintion
545,bareMinerals,High,Shine
546,bareMinerals,Prime,Time
548,bareMinerals,Marvelous,Moxie
549,bareMinerals,100%,Natural
550,bareMinerals,SPF,30
551,bareMinerals,Advanced,Protection
552,bareMinerals,Advanced,Protection
553,bareMinerals,SPF,25
554,bareMinerals,READY,Blush
555,bareMinerals,READY,Bronzer
556,bareMinerals,READY,SPF
558,bareMinerals,Angled,"
Face
"
559,bareMinerals,Angled,Blush
560,bareMinerals,Angled,Liner
561,bareMinerals,Baby,Buki
562,bareMinerals,Blending,"
Eye
"
563,bareMinerals,Bronzing,Mineral
564,bareMinerals,Brushless,Mascara
565,bareMinerals,Buff,&
566,bareMinerals,Contour,Shadow
567,bareMinerals,Crease,Defining
568,bareMinerals,Double-Ended,Precision
569,bareMinerals,Exfoliating,Treatment
570,bareMinerals,Exfoliating,Treatment
571,bareMinerals,Double-Ended,Shaping
572,bareMinerals,Extra,Firming
573,bareMinerals,Eye,Defining
574,bareMinerals,Eyelash,Comb
575,bareMinerals,Eyelash,Curler
576,bareMinerals,Eyeliner,"
Eye
"
577,bareMinerals,Eyeliner,Sharpener
578,bareMinerals,Firming,Eye
579,bareMinerals,First,Base
580,bareMinerals,Flathead,Shadow
581,bareMinerals,Flawless,Application
582,bareMinerals,Flawless,Radiance
583,bareMinerals,Full,Coverage
584,bareMinerals,Full,Edged
585,bareMinerals,Full,Flawless
586,bareMinerals,Full,Tapered
587,bareMinerals,Handy,Buki
588,bareMinerals,Heavenly,"
Face
"
589,bareMinerals,Heavenly,Liner
590,bareMinerals,Heavenly,Shadow
591,bareMinerals,Hydrate,&
592,bareMinerals,Instant,Waterproof
593,bareMinerals,Intensive,Glow
594,bareMinerals,Jumbo-sized,Purely
595,bareMinerals,Lash,Builder
596,bareMinerals,Light,Stroke
597,bareMinerals,Makeup,Remover
598,bareMinerals,Maximum,Coverage
599,bareMinerals,Maxium,Coverage
600,bareMinerals,Multi-Wrinkle,Repair
601,bareMinerals,Precision,"
 Face
"
602,bareMinerals,Precision,Concealer
603,bareMinerals,Prime,Time
604,bareMinerals,Prime,Time
605,bareMinerals,Prime,Time
606,bareMinerals,Prime,Time
607,bareMinerals,Prime,Time
608,bareMinerals,Purely,Nourishing
609,bareMinerals,Purely,Nourishing
610,bareMinerals,Purifying,Facial
611,bareMinerals,Quick,Change
612,bareMinerals,Redness,Remedy
613,bareMinerals,Refillable,Buffing
614,bareMinerals,Renew,&
615,bareMinerals,Retractable,Flawless
616,bareMinerals,Retractable,Precision
617,bareMinerals,Shine,Control
618,bareMinerals,Skin,Rev-er
619,bareMinerals,Slanted,Eyeliner
620,bareMinerals,Soft,Focus
621,bareMinerals,Soft,Focus
622,bareMinerals,Soft,Focus
623,bareMinerals,Tapered,Blush
624,bareMinerals,Tapered,Shadow
625,bareMinerals,Well-Cared,For
626,bareMinerals,Wet/Dry,Shadow
627,bareMinerals,Wrinkle,Concentrate
628,bareMinerals,READY,Makeup
629,bareMinerals,Marvelous,Moxie
630,bareMinerals,READY,Eyeshadow
631,bareMinerals,READY,Eyeshadow
632,bareMinerals,READY,Eyeshadow
633,Benefit,10,"
Powder
"
634,Benefit,BADgal,Brown
635,Benefit,BADgal,kohl
636,Benefit,BADgal,Lash
637,Benefit,BADgal,Liner
638,Benefit,BADgal,Plum
639,Benefit,BADgal,Waterproof
640,Benefit,Benetint,"
Pot
"
641,Benefit,Benetint,Lip
